date,symbol,y_1,y_5,y_21,MA1.close-to-close,MA5.close-to-close,MA20.close-to-close,MA1.neg_ret_cc,MA5.neg_ret_cc,MA1.SPY.close-to-close,MA5.SPY.close-to-close,MA20.SPY.close-to-close
2010-01-05,SPY,4.195384,4.388392,16.255691,,,,,,,,
2010-01-06,SPY,1.118018,7.745147,19.52861,4.195384,,,-0.264284,,,,
2010-01-07,SPY,6.686051,9.766841,19.540179,1.118018,,,-0.070429,,,,
2010-01-08,SPY,5.275308,9.493453,19.646593,6.686051,,,-0.421182,,,,
2010-01-11,SPY,2.215072,12.1973,20.083773,5.275308,,,-0.332313,,,,
2010-01-12,SPY,14.874401,15.017262,20.089434,2.215072,3.897967,,-0.139536,-0.245549,,,
2010-01-13,SPY,13.351755,15.294265,20.150889,14.874401,6.03377,,0.936999,-0.005292,,,
2010-01-14,SPY,4.286686,19.704391,19.941224,13.351755,8.480518,,-0.841082,-0.159423,,,
2010-01-15,SPY,17.918461,25.312912,20.64033,4.286686,8.000645,,-0.270036,-0.129194,,,
2010-01-19,SPY,19.713616,24.284012,20.332636,17.918461,10.529275,,1.128757,0.16302,,,
2010-01-20,SPY,16.224357,22.822723,19.976365,19.713616,14.028984,,-1.241841,-0.05744,,,
2010-01-21,SPY,30.82226,21.899398,19.673232,16.224357,14.298975,,1.022038,-0.040433,,,
2010-01-22,SPY,35.787959,18.88582,18.487867,30.82226,17.793076,,1.94162,0.516108,,,
2010-01-25,SPY,8.119108,12.677551,17.283651,35.787959,24.093331,,2.25443,1.021001,,,
2010-01-26,SPY,6.666635,16.357284,17.482615,8.119108,22.13346,,-0.511456,0.692958,,,
2010-01-27,SPY,7.534219,18.210219,17.428295,6.666635,19.524064,,0.419958,1.025318,,,
2010-01-28,SPY,18.315691,18.243732,17.351957,7.534219,17.786036,,-0.474611,0.725988,,,
2010-01-29,SPY,17.349598,27.589153,17.260418,18.315691,15.284722,,1.15378,0.56842,,,
2010-02-01,SPY,24.497391,26.516185,16.867344,17.349598,11.59705,,1.092922,0.336119,,,
2010-02-02,SPY,19.097138,24.688831,16.000788,24.497391,14.872707,,-1.543191,0.129772,,,
2010-02-03,SPY,7.92924,24.801513,15.48403,19.097138,17.358808,13.702456,-1.203007,-0.194821,,,
2010-02-04,SPY,49.770499,24.586114,16.153437,7.92924,17.437812,13.889148,0.499495,-0.0,,,
2010-02-05,SPY,3.277513,12.794237,11.957421,49.770499,23.728773,16.321772,3.135247,0.396293,,,
2010-02-08,SPY,11.501024,12.723723,11.949886,3.277513,20.914356,16.151346,-0.206464,0.136416,,,
2010-02-09,SPY,19.813737,16.07081,11.784435,11.501024,18.315083,16.462631,0.724496,0.589954,,,
2010-02-10,SPY,3.111673,13.820941,11.057163,19.813737,18.458403,17.342565,-1.248148,0.580925,,,
2010-02-11,SPY,16.528165,14.369807,11.036334,3.111673,17.494889,16.754428,0.196017,0.52023,,,
2010-02-12,SPY,1.321044,12.410519,10.430735,16.528165,10.846422,16.913249,-1.041177,-0.315055,,,
2010-02-16,SPY,24.782304,12.397101,10.782875,1.321044,10.455129,16.764967,0.083218,-0.257119,,,
2010-02-17,SPY,7.50477,10.299966,9.550711,24.782304,13.111385,17.108159,-1.561138,-0.714246,,,
2010-02-18,SPY,9.329909,11.707319,9.410932,7.50477,10.649591,16.497716,-0.472756,-0.559167,,,
2010-02-19,SPY,3.290641,10.980708,9.35474,9.329909,11.893239,16.152994,-0.587729,-0.715916,,,
2010-02-22,SPY,0.28441,10.890912,9.508258,3.290641,9.245734,14.776413,-0.207291,-0.549139,,,
2010-02-23,SPY,19.395063,13.129414,9.813158,0.28441,9.038407,13.001236,-0.017916,-0.569366,,,
2010-02-24,SPY,14.532093,10.050251,9.012589,19.395063,7.960959,13.565033,1.221774,-0.012784,,,
2010-02-25,SPY,2.149496,7.692266,8.455091,14.532093,9.366423,13.958306,-0.915436,-0.10132,,,
2010-02-26,SPY,1.004227,7.927984,8.444631,2.149496,7.930341,13.68907,0.135406,0.043307,,,
2010-03-01,SPY,16.399041,12.813074,8.721745,1.004227,7.473058,12.823497,-0.06326,0.072113,,,
2010-03-02,SPY,4.393025,10.507353,7.95729,16.399041,10.695984,12.775969,-1.033042,-0.130912,,,
2010-03-03,SPY,1.413784,10.389251,7.987307,4.393025,7.695576,11.770751,-0.276735,-0.430614,,,
2010-03-04,SPY,4.798976,10.839682,8.323057,1.413784,5.071915,10.886583,-0.08906,-0.265338,,,
2010-03-05,SPY,22.530382,11.028999,8.722538,4.798976,5.601811,10.73007,-0.302307,-0.352881,,,
2010-03-08,SPY,0.276669,4.48542,7.250893,22.530382,9.907042,9.368064,-1.419281,-0.624085,,,
2010-03-09,SPY,2.637997,4.487523,7.517224,0.276669,6.682567,9.218022,-0.017428,-0.420962,,,
2010-03-10,SPY,7.057592,7.104208,7.59025,2.637997,6.331562,8.77487,-0.166178,-0.398851,,,
2010-03-11,SPY,6.612926,7.62314,7.770549,7.057592,7.460323,8.137063,-0.444587,-0.469956,,,
2010-03-12,SPY,0.137821,7.035519,7.655157,6.612926,7.823113,8.312126,-0.416575,-0.49281,,,
2010-03-15,SPY,0.413392,7.904135,7.659533,0.137821,3.344601,7.492609,-0.008682,-0.21069,,,
2010-03-16,SPY,12.594387,8.761806,8.598923,0.413392,3.371946,7.447226,-0.026041,-0.212413,,,
2010-03-17,SPY,9.382007,8.354901,8.152913,12.594387,5.363224,6.83783,-0.793372,-0.337851,,,
2010-03-18,SPY,0.813708,8.008378,9.651762,9.382007,5.828107,6.931692,-0.591011,-0.367136,,,
2010-03-19,SPY,8.056247,8.083168,9.737779,0.813708,4.668263,6.505882,0.051259,-0.273569,,,
2010-03-22,SPY,8.46406,7.248355,10.060821,8.056247,6.251948,6.744162,0.507496,-0.170334,,,
2010-03-23,SPY,11.126288,7.641455,9.909941,8.46406,7.862082,7.153145,-0.533186,-0.271763,,,
2010-03-24,SPY,7.724687,5.819548,9.66319,11.126288,7.568462,6.739706,-0.70089,-0.253266,,,
2010-03-25,SPY,2.584479,5.272843,9.778409,7.724687,7.236998,6.399336,0.48661,-0.037742,,,
2010-03-26,SPY,0.953047,7.061641,9.849721,2.584479,7.591152,6.421085,0.162807,-0.015433,,,
2010-03-29,SPY,10.045212,9.104428,12.873292,0.953047,6.170512,6.418526,0.060036,-0.104925,,,
2010-03-30,SPY,1.082025,8.093369,12.953345,10.045212,6.486743,6.100834,-0.632789,-0.124845,,,
2010-03-31,SPY,5.417517,9.044515,13.636335,1.082025,4.47789,5.935284,-0.068161,0.001701,,,
2010-04-01,SPY,10.816608,9.053107,14.821339,5.417517,4.016456,6.135471,0.341271,-0.027367,,,
2010-04-05,SPY,12.885167,8.952819,15.297165,10.816608,5.662882,6.436353,-0.681382,-0.196205,,,
2010-04-06,SPY,3.737152,6.94389,17.14756,12.885167,8.049306,5.954092,-0.811689,-0.37055,,,
2010-04-07,SPY,9.092523,6.760885,17.252772,3.737152,6.787694,6.127116,-0.235418,-0.291076,,,
2010-04-08,SPY,5.488802,9.662076,20.751524,9.092523,8.389793,6.449842,0.572775,-0.162889,,,
2010-04-09,SPY,10.390865,9.36343,21.357533,5.488802,8.40405,6.371403,-0.345762,-0.300295,,,
2010-04-12,SPY,2.520071,13.991697,25.959634,10.390865,8.318902,6.5603,-0.654563,-0.294932,,,
2010-04-13,SPY,1.194179,14.199815,25.972508,2.520071,6.245882,6.679412,-0.15875,-0.164344,,,
2010-04-14,SPY,17.913812,15.530369,26.413093,1.194179,5.737288,6.718452,-0.075226,-0.132305,,,
2010-04-15,SPY,1.310554,13.36728,26.479231,17.913812,7.501546,6.984423,-1.128464,-0.472553,,,
2010-04-16,SPY,25.464464,13.520902,27.223608,1.310554,6.665896,6.58085,-0.082557,-0.419912,,,
